id,time_of_event,time_of_alert,target
01606,,,0
01901,,,0
01926,,,0
00968,21.567,19.133,1
00331,19.511,18.008,1
00661,20.400,17.100,1
00063,19.550,17.800,1
00546,20.267,18.567,1
00078,18.933,18.000,1
00735,20.200,19.500,1
00269,19.768,18.755,1
01656,,,0
00294,19.600,16.533,1
00997,21.432,17.684,1
01970,,,0
00838,9.192,5.762,1
00658,19.247,18.846,1
00138,19.600,17.700,1
00608,19.914,16.892,1
00023,19.900,18.967,1
01488,,,0
01697,,,0
00224,19.367,17.633,1
01741,,,0
00160,19.833,17.567,1
01910,,,0
01916,,,0
01238,,,0
00626,19.867,18.333,1
00244,19.387,18.258,1
00623,20.058,19.568,1
00444,19.250,16.433,1
01350,,,0
00393,20.000,18.000,1
01843,,,0
01131,,,0
01494,,,0
00872,19.467,18.533,1
00443,19.000,16.968,1
00000,20.760,19.136,1
00349,20.152,18.159,1
00466,19.033,17.600,1
00283,9.896,8.763,1
01771,,,0
00449,20.547,19.598,1
00517,12.849,11.177,1
00740,21.233,18.533,1
00640,20.432,17.657,1
00911,19.122,18.162,1
01501,,,0
01507,,,0
02092,,,0
01673,,,0
00522,19.825,16.526,1
01822,,,0
00958,19.081,17.611,1
01966,,,0
00747,19.667,17.800,1
01079,,,0
00252,18.950,17.333,1
00366,19.967,17.433,1
00177,19.667,19.067,1
00361,19.852,18.312,1
01491,,,0
00060,19.859,17.279,1
00407,20.717,18.833,1
00966,19.728,16.110,1
01584,,,0
01384,,,0
01921,,,0
00567,18.323,17.174,1
00737,20.500,19.667,1
01269,,,0
00228,20.096,19.017,1
01463,,,0
01772,,,0
02102,,,0
01489,,,0
01109,,,0
00573,10.124,8.293,1
01293,,,0
01661,,,0
00895,20.586,18.887,1
00774,20.400,19.400,1
01229,,,0
00678,10.167,7.600,1
00824,20.521,18.082,1
00345,19.467,17.933,1
01695,,,0
01508,,,0
00818,19.133,17.867,1
01639,,,0
00866,20.767,18.200,1
00788,19.530,18.387,1
01894,,,0
01060,,,0
01680,,,0
00556,20.888,19.019,1
01476,,,0
01590,,,0
01470,,,0
01130,,,0
00875,21.051,19.346,1
00317,7.333,5.533,1
01232,,,0
00915,10.659,8.760,1
01964,,,0
00106,18.100,16.900,1
00675,19.200,18.500,1
02018,,,0
02060,,,0
00714,19.465,18.194,1
00392,20.090,19.379,1
01922,,,0
01537,,,0
01742,,,0
00846,19.231,16.946,1
00527,20.600,17.800,1
01747,,,0
00130,19.600,18.000,1
01085,,,0
02126,,,0
01066,,,0
00512,18.915,16.912,1
00957,19.719,18.670,1
02027,,,0
00836,19.016,17.415,1
00329,19.233,17.833,1
01227,,,0
01960,,,0
01067,,,0
00906,18.933,18.033,1
01360,,,0
01568,,,0
00805,19.335,17.702,1
00453,20.150,18.419,1
00926,20.800,19.400,1
00692,20.416,17.639,1
01348,,,0
01736,,,0
01213,,,0
00125,20.624,19.873,1
02132,,,0
00097,19.949,19.916,1
01078,,,0
00247,18.912,16.495,1
00398,19.700,17.733,1
01980,,,0
01258,,,0
01399,,,0
00655,22.180,20.998,1
00018,20.683,20.367,1
01844,,,0
01225,,,0
01704,,,0
00344,19.947,17.462,1
01952,,,0
00990,19.836,19.019,1
01482,,,0
00917,21.667,18.133,1
01991,,,0
00568,19.600,18.367,1
01780,,,0
01355,,,0
00311,18.714,14.533,1
00739,19.308,16.825,1
01845,,,0
01707,,,0
00039,19.067,17.600,1
01949,,,0
02119,,,0
00865,19.167,18.667,1
00427,18.560,17.241,1
01446,,,0
01379,,,0
01210,,,0
01002,20.085,19.047,1
01662,,,0
00636,18.757,17.091,1
00416,20.340,19.459,1
01917,,,0
01492,,,0
01739,,,0
01632,,,0
00539,19.488,18.411,1
00809,20.067,17.900,1
02080,,,0
01214,,,0
01572,,,0
01421,,,0
00830,19.665,19.109,1
01317,,,0
00832,20.000,19.000,1
00863,19.395,16.997,1
01763,,,0
00483,19.783,18.700,1
01433,,,0
01266,,,0
00491,20.100,18.867,1
00024,20.533,19.567,1
01985,,,0
00363,19.107,17.637,1
02053,,,0
00581,19.910,18.139,1
02066,,,0
01773,,,0
01716,,,0
01860,,,0
00606,19.500,18.233,1
01785,,,0
01888,,,0
00789,20.357,18.723,1
02059,,,0
00627,20.333,18.967,1
01344,,,0
00741,19.794,18.814,1
01500,,,0
00495,19.217,17.033,1
02085,,,0
02035,,,0
01623,,,0
00287,20.115,18.450,1
01088,,,0
00458,19.067,17.233,1
00526,19.466,18.061,1
00713,9.564,8.498,1
00859,19.892,18.422,1
00089,20.367,19.299,1
01240,,,0
00342,19.567,18.333,1
00596,20.567,17.367,1
00339,20.545,19.347,1
01028,9.532,7.133,1
01408,,,0
01770,,,0
00972,15.602,14.544,1
01504,,,0
01061,,,0
01270,,,0
01277,,,0
01141,,,0
00700,19.920,18.252,1
01748,,,0
01254,,,0
01986,,,0
01548,,,0
00624,20.800,20.000,1
02054,,,0
01527,,,0
01357,,,0
01690,,,0
00923,19.471,17.344,1
02012,,,0
01760,,,0
01766,,,0
01207,,,0
01435,,,0
01012,21.367,17.867,1
00153,20.554,17.651,1
01260,,,0
00341,19.481,16.975,1
00579,22.752,21.549,1
00234,9.895,6.630,1
00583,20.744,18.816,1
00456,18.733,17.600,1
00095,9.531,8.831,1
00424,20.167,18.233,1
01140,,,0
00041,20.167,18.500,1
00988,9.964,8.798,1
01134,,,0
00981,20.804,17.052,1
01990,,,0
01586,,,0
01666,,,0
01453,,,0
00142,20.921,19.486,1
02088,,,0
01332,,,0
01941,,,0
00835,20.433,19.267,1
00650,18.867,14.600,1
01282,,,0
00276,19.550,18.733,1
00849,20.800,18.100,1
01694,,,0
00232,19.033,17.333,1
00147,19.517,18.367,1
00744,19.015,18.492,1
00351,19.067,16.633,1
00609,20.977,19.768,1
02124,,,0
00403,18.336,18.303,1
01875,,,0
00793,20.367,16.533,1
01706,,,0
01170,,,0
00693,20.194,19.181,1
01880,,,0
00103,20.467,19.400,1
01729,,,0
00129,20.567,19.733,1
00275,10.166,8.466,1
00633,21.667,18.133,1
00172,18.433,17.800,1
01795,,,0
02064,,,0
01096,,,0
00571,20.358,19.084,1
00027,19.567,17.800,1
01380,,,0
01434,,,0
01664,,,0
00307,20.367,19.133,1
01948,,,0
01288,,,0
01976,,,0
00264,19.231,16.905,1
01792,,,0
00136,19.150,16.507,1
00816,21.267,20.200,1
00959,23.800,22.167,1
01608,,,0
01503,,,0
02074,,,0
01396,,,0
00047,19.567,18.400,1
00551,20.300,18.800,1
00549,19.400,18.700,1
01645,,,0
00296,19.500,18.567,1
00096,20.487,19.699,1
00734,19.442,15.357,1
00480,20.123,18.425,1
02096,,,0
02045,,,0
00864,21.633,19.833,1
00674,19.536,17.903,1
00017,19.200,17.200,1
01542,,,0
00935,19.608,15.795,1
01319,,,0
01735,,,0
02136,,,0
00475,20.209,19.262,1
01054,,,0
00188,20.052,19.477,1
01828,,,0
01417,,,0
00302,19.067,17.500,1
00634,19.900,18.567,1
02017,,,0
00701,19.300,18.433,1
00637,19.867,18.667,1
02104,,,0
00758,20.237,19.636,1
01510,,,0
01753,,,0
00163,18.758,17.613,1
01630,,,0
00502,19.667,16.000,1
01116,,,0
00652,18.967,18.433,1
00825,19.200,17.667,1
02087,,,0
01532,,,0
00119,17.365,16.107,1
01043,,,0
01643,,,0
01178,,,0
01612,,,0
00303,20.467,18.800,1
01182,,,0
01306,,,0
00929,18.467,16.033,1
01004,21.799,18.651,1
01878,,,0
00288,18.919,17.873,1
00065,19.000,17.567,1
00782,10.126,7.161,1
02051,,,0
00748,20.533,19.500,1
01485,,,0
01866,,,0
02062,,,0
00364,20.427,19.447,1
01582,,,0
00048,9.863,9.496,1
01315,,,0
00210,19.700,19.033,1
00321,19.067,17.867,1
00426,19.989,19.401,1
01702,,,0
01550,,,0
01128,,,0
00553,21.069,20.383,1
00916,19.364,16.785,1
00478,18.660,17.908,1
00944,10.296,8.897,1
01903,,,0
00327,18.388,16.624,1
00187,20.380,20.347,1
01333,,,0
00534,19.644,17.715,1
00686,19.567,18.533,1
00256,19.183,18.267,1
01621,,,0
00452,19.800,18.367,1
00867,20.000,18.867,1
01285,,,0
02135,,,0
02024,,,0
01935,,,0
00554,20.182,18.288,1
02044,,,0
00093,9.933,7.533,1
01934,,,0
01625,,,0
00860,20.433,19.900,1
01882,,,0
00798,20.324,18.462,1
02034,,,0
01146,,,0
00971,20.533,18.200,1
01473,,,0
01545,,,0
01295,,,0
01020,17.490,17.065,1
00222,20.033,18.600,1
00766,20.367,18.467,1
00259,19.430,18.483,1
01456,,,0
00660,19.969,18.562,1
00687,18.981,17.053,1
01967,,,0
00414,10.264,9.164,1
00725,19.833,18.633,1
00360,19.933,19.833,1
00803,10.565,7.899,1
00942,19.667,18.833,1
00233,19.433,18.167,1
02099,,,0
00285,20.317,18.815,1
01598,,,0
01354,,,0
01933,,,0
01118,,,0
00839,20.153,19.119,1
00698,20.767,19.433,1
01262,,,0
01194,,,0
01835,,,0
00905,10.657,8.859,1
00464,19.733,18.800,1
00787,20.900,19.400,1
00497,18.567,17.233,1
00485,19.200,17.000,1
01411,,,0
00358,19.233,16.100,1
00792,20.433,18.267,1
00653,21.358,19.311,1
01968,,,0
01929,,,0
00566,21.654,20.384,1
00996,20.333,17.967,1
00912,19.632,18.554,1
01879,,,0
00290,18.330,17.448,1
00169,19.903,18.742,1
00817,20.553,19.050,1
01362,,,0
01142,,,0
00028,19.929,17.740,1
01382,,,0
01920,,,0
00647,19.500,18.533,1
00521,20.710,18.984,1
01585,,,0
00979,19.795,17.803,1
00850,21.233,18.967,1
00712,20.633,19.367,1
01034,18.267,17.100,1
00982,19.572,18.461,1
00952,19.448,18.630,1
00054,19.300,17.767,1
01955,,,0
00003,19.233,16.900,1
01271,,,0
00953,20.149,19.692,1
01663,,,0
00008,19.267,19.233,1
01554,,,0
01834,,,0
00964,20.467,19.100,1
01497,,,0
01936,,,0
00663,18.677,17.727,1
00542,19.471,16.727,1
01691,,,0
00804,18.733,18.533,1
01581,,,0
01095,,,0
01511,,,0
02037,,,0
01995,,,0
01534,,,0
00696,20.211,17.240,1
01559,,,0
00794,20.905,19.631,1
00328,19.355,18.613,1
01846,,,0
01089,,,0
01825,,,0
01732,,,0
02120,,,0
01048,,,0
01899,,,0
01252,,,0
01173,,,0
01401,,,0
01454,,,0
01283,,,0
00433,21.800,18.967,1
00625,19.479,18.128,1
01157,,,0
01499,,,0
01711,,,0
01925,,,0
00757,19.967,17.500,1
00560,19.312,18.936,1
01196,,,0
00574,19.567,17.248,1
01365,,,0
00081,18.667,18.533,1
01646,,,0
01571,,,0
01734,,,0
00914,20.320,18.850,1
00750,21.025,19.426,1
01821,,,0
01046,,,0
01248,,,0
01062,,,0
00753,21.100,19.333,1
00613,10.033,8.533,1
00383,3.032,1.966,1
00481,19.200,18.567,1
01366,,,0
01175,,,0
00415,20.333,18.967,1
00840,19.033,18.067,1
01552,,,0
00585,19.100,18.400,1
00114,20.000,18.367,1
00930,20.100,17.867,1
00162,19.983,19.950,1
01177,,,0
02129,,,0
01961,,,0
01885,,,0
01301,,,0
01789,,,0
01786,,,0
01228,,,0
01431,,,0
01709,,,0
00592,20.200,19.333,1
01685,,,0
00780,19.967,16.900,1
01580,,,0
00200,19.132,17.206,1
01931,,,0
00356,10.199,8.999,1
01959,,,0
00362,10.195,8.330,1
01318,,,0
01827,,,0
00874,20.425,18.693,1
00174,20.000,19.000,1
00239,7.833,7.367,1
01852,,,0
00659,11.789,10.842,1
01519,,,0
01094,,,0
01712,,,0
01338,,,0
01614,,,0
02061,,,0
01464,,,0
00945,18.740,17.857,1
01237,,,0
00213,18.719,16.016,1
00888,9.861,8.729,1
02032,,,0
02117,,,0
01221,,,0
01127,,,0
01864,,,0
01838,,,0
01387,,,0
02090,,,0
01998,,,0
01466,,,0
00353,19.850,19.600,1
01008,11.699,9.132,1
01462,,,0
00879,19.933,16.900,1
01813,,,0
01809,,,0
01620,,,0
00207,18.400,15.433,1
00842,20.045,18.667,1
00973,12.524,9.227,1
02022,,,0
01635,,,0
00954,19.333,17.033,1
00733,15.194,11.469,1
01436,,,0
01569,,,0
00597,10.133,8.500,1
01478,,,0
02128,,,0
00896,19.600,18.300,1
01498,,,0
00684,18.357,17.382,1
01618,,,0
00544,21.455,20.354,1
00883,10.629,8.363,1
01445,,,0
01442,,,0
01460,,,0
00170,21.133,20.000,1
01145,,,0
00648,20.133,16.833,1
01080,,,0
01156,,,0
01796,,,0
01340,,,0
01220,,,0
01540,,,0
00710,19.917,17.566,1
01452,,,0
01137,,,0
01209,,,0
00505,17.700,16.967,1
01257,,,0
01189,,,0
01779,,,0
00989,20.900,18.500,1
01883,,,0
01296,,,0
01459,,,0
01628,,,0
00610,21.068,18.431,1
01727,,,0
01593,,,0
01449,,,0
01217,,,0
01682,,,0
01720,,,0
01589,,,0
01490,,,0
01923,,,0
02106,,,0
01111,,,0
00382,18.258,17.290,1
01155,,,0
00501,20.296,18.077,1
01284,,,0
01440,,,0
01302,,,0
01402,,,0
00074,20.233,18.967,1
01946,,,0
02050,,,0
01192,,,0
01153,,,0
01652,,,0
01543,,,0
01307,,,0
01309,,,0
01369,,,0
01535,,,0
01799,,,0
01592,,,0
01514,,,0
01334,,,0
02137,,,0
01918,,,0
00236,9.597,8.898,1
02048,,,0
01133,,,0
01597,,,0
01040,,,0
01356,,,0
00510,18.633,17.500,1
01872,,,0
01891,,,0
01346,,,0
01989,,,0
01862,,,0
01992,,,0
00086,19.400,15.900,1
01622,,,0
02029,,,0
01320,,,0
00326,19.667,19.400,1
00266,20.667,18.933,1
00463,20.433,19.333,1
00218,19.650,19.267,1
00389,17.700,17.400,1
00420,19.863,19.830,1
00332,5.833,5.333,1
00157,19.294,17.596,1
00076,19.900,17.800,1
00550,20.100,18.767,1
00394,19.532,18.097,1
00199,9.225,7.726,1
00025,20.033,18.467,1
00422,20.048,18.546,1
00309,19.233,18.433,1
00271,49.633,48.200,1
00272,20.539,18.871,1
00062,18.867,17.800,1
00537,20.418,19.699,1
00253,22.377,21.038,1
00250,9.160,7.661,1
00397,19.533,18.267,1
00127,18.117,16.419,1
00530,9.664,9.098,1
00007,21.200,19.500,1
00273,20.533,19.400,1
00183,19.467,17.800,1
00265,20.433,18.067,1
00428,16.867,15.467,1
00474,19.900,18.233,1
00118,20.333,19.400,1
00406,9.496,8.530,1
00121,19.300,18.733,1
00192,19.500,17.567,1
00486,9.561,7.896,1
00454,19.133,16.933,1
00104,20.783,20.133,1
00043,9.263,8.863,1
00055,19.133,17.800,1
00112,18.967,17.433,1
00413,20.033,18.100,1
00242,20.567,19.433,1
00541,20.100,19.067,1
00325,19.417,18.300,1
00479,20.515,19.618,1
00472,19.667,18.800,1
00523,20.300,18.133,1
00227,20.067,18.767,1
00154,20.333,17.367,1
00447,10.195,8.929,1
00500,19.933,18.633,1
00519,19.567,19.033,1
00262,17.900,13.933,1
00391,19.867,19.267,1
00533,19.767,17.267,1
